,filename,width,height,class,xmin,ymin,xmax,ymax
3169,293_42-framed5848.jpg,1280,720,ball,645,436,789,556
1987,IMG_20181003_153043498_BURST003.jpg,3264,1836,ball,1694,482,2707,1495
551,291_4-framed14716-1.jpg,1280,598,ball,435,325,506,401
2825,197_1525454946.9278204frame02354.jpg,640,360,ball,318,212,377,273
1582,260_montreal-game01_ac_000081.jpg,800,600,ball,708,375,727,391
1869,166_frame2491.jpg,640,360,ball,257,171,275,188
3759,36_euro_ball_game_1_k_00177.jpg,800,600,ball,491,398,530,436
2602,197_1525455360.4290664frame05681.jpg,640,360,ball,0,193,74,270
3818,36_euro_ball_game_1_g_00671.jpg,800,600,ball,206,163,246,207
518,291_5-framed7656.jpg,1280,504,ball,779,53,854,120
3335,293_33-framed8548-1.jpg,1280,634,ball,854,410,890,446
3754,36_euro_ball_game_1_k_00268.jpg,800,600,ball,416,303,458,346
2741,34_leipzig_robocup16_002.285.jpg,800,600,ball,220,263,240,283
2279,IMG_20181003_152400696_BURST019.jpg,3264,1836,ball,1050,257,1935,1184
73,294_52-framed2965-1.jpg,1280,626,ball,275,359,307,395
4371,156_sequences_jasper_kicking_euro_ball_00937.jpg,800,600,ball,623,154,708,236
2989,12_leipzig_robocup16_000.202.jpg,800,600,ball,383,426,462,504
682,292_24-framed17704-1.jpg,1280,598,ball,287,178,380,273
431,294_55-framed4007-1.jpg,960,720,ball,471,411,496,433
1103,81_test_nagoya_game_c_00163.jpg,800,600,ball,196,351,285,438
2193,IMG_20181001_165045542_BURST001.jpg,4096,2304,ball,1554,1096,1863,1493
1026,291_1-framed38772.jpg,1280,720,ball,763,220,799,250
1796,166_frame4177.jpg,640,360,ball,267,203,286,221
3177,293_42-framed18060.jpg,1280,720,ball,771,511,883,615
2044,IMG_20181003_152400696_BURST007.jpg,3264,1836,ball,1495,949,2567,1838
1741,168_frame0278.jpg,640,360,ball,94,154,120,179
4255,36_euro_ball_game_1_d_00079.jpg,800,600,ball,480,401,511,437
