Dataset,N imagens,N Annotations +,Nimagens with Annotations +,ball,concealed ball,goal,goalpost,obstacle,robot
148,445,522,260,70,0,0,0,0,452
169,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0
163,921,918,918,918,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0
97,770,1910,503,94,0,0,0,25,1791
208,4485,0,0,0,0,0,0,0,0
30,936,996,936,936,0,0,39,0,21
132,652,1278,479,173,0,0,0,0,1105
203,3360,0,0,0,0,0,0,0,0
101,796,2554,776,162,0,0,0,0,2392
167,276,270,270,270,0,0,0,0,0
20,217,319,216,209,41,3,10,0,56
179,4,4,4,4,0,0,0,0,0
221,1,2,1,2,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0
5,1000,1233,1000,1002,0,0,163,0,68
174,2096,435,435,434,0,0,1,0,0
212,2238,0,0,0,0,0,0,0,0
185,576,328,221,147,0,0,181,0,0
34,1502,1505,1502,1504,0,0,1,0,0
254,446,551,446,104,0,0,0,0,447
262,843,843,843,843,0,0,0,0,0
156,1016,1016,1016,1016,0,0,0,0,0
19,316,311,311,266,45,0,0,0,0
202,4720,0,0,0,0,0,0,0,0
181,486,487,486,487,0,0,0,0,0
187,9,9,9,1,0,0,8,0,0
123,454,303,128,48,0,0,0,0,255
146,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0
204,2969,0,0,0,0,0,0,0,0
135,651,2620,560,244,0,0,0,0,2376
141,652,1434,526,0,0,0,0,0,1434
162,822,1629,822,976,0,0,653,0,0
32,928,1064,928,954,0,0,78,0,32
205,817,302,302,302,0,0,0,0,0
122,67,37,23,0,0,0,0,0,37
149,329,744,304,217,0,0,0,0,527
133,691,772,408,29,0,0,0,0,743
134,653,3510,605,246,0,280,0,0,2984
21,73,73,73,73,0,0,0,0,0
15,1000,1140,1000,1000,0,0,140,0,0
150,2614,2615,2614,0,0,0,0,0,2615
138,0,0,0,0,0,0,0,0,0
